['13.5', '13.85', '0.8852', '5.351', '3.158', '2.249', '5.176', '1']
['16.12', '15', '0.9', '5.709', '3.485', '2.27', '5.443', '1']
['14.52', '14.6', '0.8557', '5.741', '3.113', '1.481', '5.487', '1']
['15.5', '14.86', '0.882', '5.877', '3.396', '4.711', '5.528', '1']
['16.44', '15.25', '0.888', '5.884', '3.505', '1.969', '5.533', '1']
['14.8', '14.52', '0.8823', '5.656', '3.288', '3.112', '5.309', '1']
['16.63', '15.46', '0.8747', '6.053', '3.465', '2.04', '5.877', '1']
['15.49', '14.94', '0.8724', '5.757', '3.371', '3.412', '5.228', '1']
['15.88', '14.9', '0.8988', '5.618', '3.507', '0.7651', '5.091', '1']
['12.08', '13.23', '0.8664', '5.099', '2.936', '1.415', '4.961', '1']
['14.11', '14.18', '0.882', '5.541', '3.221', '2.754', '5.038', '1']
['15.78', '14.91', '0.8923', '5.674', '3.434', '5.593', '5.136', '1']
['13.16', '13.55', '0.9009', '5.138', '3.201', '2.461', '4.783', '1']
['13.99', '13.83', '0.9183', '5.119', '3.383', '5.234', '4.781', '1']
['11.23', '12.63', '0.884', '4.902', '2.879', '2.269', '4.703', '1']
['15.69', '14.75', '0.9058', '5.527', '3.514', '1.599', '5.046', '1']
['15.03', '14.77', '0.8658', '5.702', '3.212', '1.933', '5.439', '1']
['12.11', '13.47', '0.8392', '5.159', '3.032', '1.502', '4.519', '1']
['18.98', '16.57', '0.8687', '6.449', '3.552', '2.144', '6.453', '2']
['19.94', '16.92', '0.8752', '6.675', '3.763', '3.252', '6.55', '2']
['18.65', '16.41', '0.8698', '6.285', '3.594', '4.391', '6.102', '2']
['20.88', '17.05', '0.9031', '6.45', '4.032', '5.016', '6.321', '2']
['15.38', '14.66', '0.899', '5.477', '3.465', '3.6', '5.439', '2']
['18.43', '15.97', '0.9077', '5.98', '3.771', '2.984', '5.905', '2']
['16.82', '15.51', '0.8786', '6.017', '3.486', '4.004', '5.841', '2']
['18.14', '16.12', '0.8772', '6.059', '3.563', '3.619', '6.011', '2']
['18.94', '16.49', '0.875', '6.445', '3.639', '5.064', '6.362', '2']
['16.87', '15.65', '0.8648', '6.139', '3.463', '3.696', '5.967', '2']
['17.98', '15.85', '0.8993', '5.979', '3.687', '2.257', '5.919', '2']
['16.53', '15.34', '0.8823', '5.875', '3.467', '5.532', '5.88', '2']
['20.2', '16.89', '0.8894', '6.285', '3.864', '5.173', '6.187', '2']
['15.56', '14.89', '0.8823', '5.776', '3.408', '4.972', '5.847', '2']
['18.76', '16.2', '0.8984', '6.172', '3.796', '3.12', '6.053', '2']
['20.24', '16.91', '0.8897', '6.315', '3.962', '5.901', '6.188', '2']
['19.38', '16.72', '0.8716', '6.303', '3.791', '3.678', '5.965', '2']
['10.91', '12.8', '0.8372', '5.088', '2.675', '4.179', '4.956', '3']
['12.44', '13.59', '0.8462', '5.319', '2.897', '4.924', '5.27', '3']
['11.24', '13', '0.8359', '5.09', '2.715', '3.521', '5.088', '3']
['12.13', '13.73', '0.8081', '5.394', '2.745', '4.825', '5.22', '3']
['13.2', '13.66', '0.8883', '5.236', '3.232', '8.315', '5.056', '3']
['10.93', '12.8', '0.839', '5.046', '2.717', '5.398', '5.045', '3']
['11.55', '13.1', '0.8455', '5.167', '2.845', '6.715', '4.956', '3']
['12.62', '13.67', '0.8481', '5.41', '2.911', '3.306', '5.231', '3']
['12.37', '13.47', '0.8567', '5.204', '2.96', '3.919', '5.001', '3']
['11.18', '13.04', '0.8266', '5.22', '2.693', '3.332', '5.001', '3']
['10.8', '12.57', '0.859', '4.981', '2.821', '4.773', '5.063', '3']
['12.67', '13.32', '0.8977', '4.984', '3.135', '2.3', '4.745', '3']
['12.89', '13.77', '0.8541', '5.495', '3.026', '6.185', '5.316', '3']
['11.84', '13.21', '0.8521', '5.175', '2.836', '3.598', '5.044', '3']
['11.34', '12.87', '0.8596', '5.053', '2.849', '3.347', '5.003', '3']
['12.21', '13.47', '0.8453', '5.357', '2.893', '1.661', '5.178', '3']
['12.54', '13.67', '0.8425', '5.451', '2.879', '3.082', '5.491', '3']
