['14.99', '14.56', '0.8883', '5.57', '3.377', '2.958', '5.175', '1']
['12.36', '13.19', '0.8923', '5.076', '3.042', '3.22', '4.605', '1']
['14.59', '14.28', '0.8993', '5.351', '3.333', '4.185', '4.781', '1']
['13.78', '14.06', '0.8759', '5.479', '3.156', '3.136', '4.872', '1']
['16.2', '15.27', '0.8734', '5.826', '3.464', '2.823', '5.527', '1']
['17.08', '15.38', '0.9079', '5.832', '3.683', '2.956', '5.484', '1']
['13.02', '13.76', '0.8641', '5.395', '3.026', '3.373', '4.825', '1']
['13.45', '14.02', '0.8604', '5.516', '3.065', '3.531', '5.097', '1']
['14.28', '14.17', '0.8944', '5.397', '3.298', '6.685', '5.001', '1']
['13.94', '14.17', '0.8728', '5.585', '3.15', '2.124', '5.012', '1']
['16.19', '15.16', '0.8849', '5.833', '3.421', '0.903', '5.307', '1']
['14.69', '14.49', '0.8799', '5.563', '3.259', '3.586', '5.219', '1']
['14.46', '14.35', '0.8818', '5.388', '3.377', '2.802', '5.044', '1']
['14.34', '14.37', '0.8726', '5.63', '3.19', '1.313', '5.15', '1']
['14.86', '14.67', '0.8676', '5.678', '3.258', '2.129', '5.351', '1']
['12.74', '13.67', '0.8564', '5.395', '2.956', '2.504', '4.869', '1']
['16.14', '14.99', '0.9034', '5.658', '3.562', '1.355', '5.175', '1']
['19.06', '16.45', '0.8854', '6.416', '3.719', '2.248', '6.163', '2']
['18.81', '16.29', '0.8906', '6.272', '3.693', '3.237', '6.053', '2']
['18.96', '16.2', '0.9077', '6.051', '3.897', '4.334', '5.75', '2']
['19.31', '16.59', '0.8815', '6.341', '3.81', '3.477', '6.238', '2']
['16.84', '15.67', '0.8623', '5.998', '3.484', '4.675', '5.877', '2']
['19.18', '16.63', '0.8717', '6.369', '3.681', '3.357', '6.229', '2']
['16.16', '15.33', '0.8644', '5.845', '3.395', '4.266', '5.795', '2']
['16.41', '15.25', '0.8866', '5.718', '3.525', '4.217', '5.618', '2']
['18.72', '16.34', '0.881', '6.219', '3.684', '2.188', '6.097', '2']
['18.75', '16.18', '0.8999', '6.111', '3.869', '4.188', '5.992', '2']
['18.72', '16.19', '0.8977', '6.006', '3.857', '5.324', '5.879', '2']
['18.88', '16.26', '0.8969', '6.084', '3.764', '1.649', '6.109', '2']
['20.97', '17.25', '0.8859', '6.563', '3.991', '4.677', '6.316', '2']
['18.59', '16.05', '0.9066', '6.037', '3.86', '6.001', '5.877', '2']
['20.1', '16.99', '0.8746', '6.581', '3.785', '1.955', '6.449', '2']
['21.18', '17.21', '0.8989', '6.573', '4.033', '5.78', '6.231', '2']
['17.63', '15.86', '0.88', '6.033', '3.573', '3.747', '5.929', '2']
['12.15', '13.45', '0.8443', '5.417', '2.837', '3.638', '5.338', '3']
['13.32', '13.94', '0.8613', '5.541', '3.073', '7.035', '5.44', '3']
['11.49', '13.22', '0.8263', '5.304', '2.695', '5.388', '5.31', '3']
['11.21', '13.13', '0.8167', '5.279', '2.687', '6.169', '5.275', '3']
['11.19', '13.05', '0.8253', '5.25', '2.675', '5.813', '5.219', '3']
['12.79', '13.53', '0.8786', '5.224', '3.054', '5.483', '4.958', '3']
['12.3', '13.34', '0.8684', '5.243', '2.974', '5.637', '5.063', '3']
['12.8', '13.47', '0.886', '5.16', '3.126', '4.873', '4.914', '3']
['11.48', '13.05', '0.8473', '5.18', '2.758', '5.876', '5.002', '3']
['10.59', '12.41', '0.8648', '4.899', '2.787', '4.975', '4.794', '3']
['11.65', '13.07', '0.8575', '5.108', '2.85', '5.209', '5.135', '3']
['11.35', '13.12', '0.8291', '5.176', '2.668', '4.337', '5.132', '3']
['11.56', '13.31', '0.8198', '5.363', '2.683', '4.062', '5.182', '3']
['11.18', '12.72', '0.868', '5.009', '2.81', '4.051', '4.828', '3']
['11.75', '13.52', '0.8082', '5.444', '2.678', '4.378', '5.31', '3']
['11.81', '13.45', '0.8198', '5.413', '2.716', '4.898', '5.352', '3']
['10.74', '12.73', '0.8329', '5.145', '2.642', '4.702', '4.963', '3']
